var1,var2,var3,var4
0.11295596,0.11341569,0.291677,0.02364494
0.3606731,0.1349165,0.5587894,0.1075319
0.5580607,0.11604,0.7577911,0.1056583
0.80917578,0.08757532,1.00916298,0.08531199
1.07438011,0.09154209,1.27437889,0.0922397
1.3060709,0.1283977,1.5060411,0.1318494
1.5001491,0.1246673,1.7000928,0.1294143
1.7388484,0.1205043,1.9387637,0.1263237
1.99847216,0.09359261,2.19840566,0.09874978
2.2046692,0.1009176,2.4045752,0.107048
2.4734964,0.1090293,2.6733636,0.1163142
2.6591139,0.0964834,2.859003,0.1031425
2.91457957,0.09235546,3.11446797,0.09903585
3.12093784,0.09406619,3.32081348,0.10111815
3.3579848,0.1121404,3.5577884,0.1210008
0.08957797,0.35203212,0.15768952,0.1639874
0.3464635,0.3200311,0.5292627,0.2388865
0.5551999,0.3464969,0.7508359,0.3049455
0.8397829,0.3264052,1.0395696,0.3171702
1.0493392,0.3685205,1.2493203,0.3712642
1.2880534,0.3506126,1.4876899,0.3626649
1.5181454,0.3234009,1.7174833,0.3396605
1.7386509,0.357369,1.9372699,0.3808315
1.9537228,0.3299316,2.1522939,0.353796
2.2370475,0.3354028,2.4351284,0.3630424
2.4256316,0.3783575,2.6225072,0.4135708
2.6618968,0.3341311,2.8594873,0.3650822
2.8877991,0.3660229,3.0843304,0.4031101
3.1308741,0.3650879,3.3271516,0.4034954
3.3951873,0.3721536,3.5909541,0.4130847
0.1140596,0.6004391,0.1478363,0.4033119
0.3727217,0.557091,0.5100742,0.4117147
0.5822961,0.5985291,0.7586651,0.5042212
0.8245905,0.5983161,1.0221268,0.5670209
1.0498476,0.586495,1.2497343,0.5932256
1.2764858,0.5891435,1.4741169,0.6198347
1.5307411,0.6093691,1.7238057,0.6615808
1.7496378,0.5803117,1.9414016,0.6371151
1.9933219,0.5836307,2.1821375,0.6495753
2.1999416,0.588658,2.3862547,0.6613727
2.4528457,0.577167,2.638268,0.6521243
2.6853814,0.5938266,2.8671631,0.6772256
2.9204063,0.553448,3.105619,0.6289217
3.1346064,0.587451,3.3145697,0.6747048
3.3913874,0.5718601,3.5723281,0.6570686
0.1055974,0.8394576,0.11462,0.6396613
0.3741359,0.8291756,0.4219684,0.6349797
0.5538879,0.8233844,0.6479104,0.646863
0.8154241,0.7925301,0.9990019,0.7131627
1.0558472,0.7954531,1.2547978,0.8159146
1.2967929,0.8211921,1.4738327,0.9142347
1.5005013,0.8273758,1.6567242,0.9522534
1.7496363,0.8173208,1.8940244,0.9557118
1.9662143,0.8123484,2.1032079,0.958063
2.2374503,0.828409,2.357352,0.9884826
2.4600519,0.8374603,2.5695239,1.0048397
2.6996282,0.801058,2.8235052,0.9580756
2.8901958,0.8290479,2.9968744,0.9982214
3.1672037,0.8184917,3.2759853,0.9863206
3.3788184,0.7959818,3.4965417,0.9576643
0.09141646,1.02717038,0.09035191,0.82717321
0.3340001,1.0652724,0.3217319,0.8656491
0.5780005,1.0430091,0.5555516,0.8442729
0.8363816,1.0656566,0.7297876,0.8964298
1.0585841,1.0760337,0.8723543,1.1489615
1.3012,1.049812,1.225336,1.234865
1.513487,1.059068,1.45102,1.249062
1.740728,1.047248,1.69924,1.242898
1.985258,1.02215,1.967859,1.221391
2.219345,1.067987,2.174195,1.262824
2.428358,1.04821,2.397456,1.245808
2.657846,1.035352,2.636079,1.234164
2.899862,1.079932,2.855784,1.275014
3.129671,1.040014,3.107198,1.238748
3.405814,1.058693,3.3748,1.256274
0.10042744,1.30695969,0.08995376,1.10723413
0.3297418,1.2935414,0.2861589,1.0983478
0.5599461,1.2899342,0.4606425,1.1163289
0.8111807,1.3100044,0.6317117,1.2217385
1.046764,1.2721479,0.8478454,1.2929181
1.26627,1.272273,1.086764,1.360463
1.489611,1.279806,1.329741,1.399979
1.734222,1.297117,1.58734,1.432858
1.992175,1.266436,1.863102,1.419212
2.199489,1.297037,2.070862,1.450188
2.472588,1.273071,2.355693,1.435354
2.685524,1.310455,2.565022,1.470077
2.887669,1.289909,2.774348,1.454707
3.168165,1.290735,3.058198,1.457789
3.405991,1.29267,3.298059,1.461046
0.1463852,1.5207658,0.123056,1.3221311
0.3742783,1.5247887,0.2981329,1.3398511
0.5849632,1.5450857,0.4439357,1.4032715
0.8144879,1.5219826,0.6246786,1.4589553
1.0412811,1.5237819,0.8416128,1.5352961
1.285993,1.528843,1.095589,1.59005
1.493404,1.543187,1.312351,1.628157
1.759062,1.537337,1.588875,1.642392
1.992849,1.522078,1.831022,1.639603
2.209909,1.495091,2.05576,1.62252
2.437355,1.505378,2.287085,1.63736
2.667075,1.496155,2.521526,1.633325
2.929001,1.515885,2.785271,1.654959
3.143507,1.497478,3.003932,1.640721
3.405245,1.537102,3.264579,1.679275
0.11234321,1.7257431,0.09117316,1.52686668
0.3668116,1.758195,0.2774209,1.5792835
0.5744821,1.7764103,0.4218949,1.6471154
0.8109239,1.7466532,0.6179707,1.6940313
1.0424874,1.7579498,0.8427104,1.767392
1.273069,1.740893,1.079133,1.789766
1.48924,1.731135,1.302841,1.80363
1.771899,1.769242,1.593083,1.858825
1.971755,1.754975,1.79821,1.854384
2.218085,1.740731,2.050034,1.84917
2.427956,1.752378,2.262948,1.865394
2.653976,1.729186,2.493125,1.848044
2.922177,1.735862,2.764158,1.85846
3.153247,1.742686,2.997162,1.867736
3.399633,1.722801,3.246583,1.851547
0.10476992,1.95758633,0.08201942,1.7588845
0.372034,2.0101995,0.2697105,1.8383568
0.5854998,2.0013677,0.4222276,1.8858593
0.8433366,2.0105946,0.6466664,1.9742515
1.0260567,1.9684709,0.8261232,1.9736308
1.281692,2.013245,1.086296,2.055909
1.525079,1.973658,1.336246,2.039552
1.750244,1.971396,1.566842,2.051169
1.969907,1.972368,1.790975,2.061719
2.187097,1.959952,2.012158,2.056885
2.440264,1.999287,2.268042,2.10097
2.677628,1.972844,2.508813,2.080089
2.888979,1.971384,2.722324,2.081957
3.151706,1.965277,2.987474,2.079417
3.357931,1.962461,3.195307,2.078882
0.09290453,2.20650933,0.07064266,2.00775217
0.3318264,2.2072873,0.2363541,2.0315459
0.5654677,2.2014374,0.4019314,2.0863033
0.8396069,2.2069864,0.6425893,2.1725766
1.0394247,2.2046039,0.8395451,2.2115414
1.305819,2.237715,1.110156,2.279138
1.521647,2.233587,1.330635,2.292869
1.736594,2.226436,1.549949,2.298295
1.980349,2.242465,1.797742,2.324041
2.212094,2.217961,2.03313,2.307248
2.420136,2.199731,2.244005,2.294482
2.665221,2.197227,2.491715,2.296704
2.935201,2.236228,2.763424,2.338661
3.125508,2.233337,2.955201,2.338199
3.397486,2.21844,3.229216,2.326538
0.13047015,2.45028768,0.09549346,2.25336985
0.3210295,2.4620186,0.2231036,2.2876325
0.5782639,2.468012,0.4077555,2.3634803
0.8114821,2.446107,0.6152342,2.4075481
1.0795192,2.4633242,0.8799024,2.4757004
1.262048,2.441348,1.06507,2.475986
1.498727,2.447411,1.306201,2.501575
1.745686,2.420287,1.557746,2.488689
1.987001,2.478086,1.802368,2.554966
2.22048,2.448003,2.039101,2.532275
2.444653,2.45743,2.265639,2.546616
2.693026,2.462026,2.516263,2.555593
2.912647,2.442234,2.737848,2.539421
3.17254,2.441437,2.999529,2.541773
3.367164,2.461199,3.195066,2.563093
